data,detalhes,tipo,5_dia_util,transacoes_negocio
2015-05-11,Movimento Segunda-Feira; Arrecadação de Convênios; Previsão de grande movimento no SISBR2.0;,Alto Risco,,6.612.066
2015-05-12,Dia Produção Sisbr; Movimento Batch – Compe Inferior;,Normal,,4.949.627
2015-05-13,,Normal,,4.391.604
2015-05-14,Dia Produção Sisbr;,Normal,,4.261.943
2015-05-15,Movimento Batch – Empréstimo 0001;,Normal,,5.017.979
2015-05-16,Utilização de Caixa Eletrônico,Normal,,1.010.094
2015-05-17,Utilização de Caixa Eletrônico,Normal,,511.972
2015-05-18,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001;,Alto Risco,,5.252.953
2015-05-19,Dia Produção Sisbr;,Normal,,4.477.122
2015-05-20,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,5.206.286
2015-05-21,Dia Produção Sisbr;,Normal,,4.171.908
2015-05-22,,Normal,,4.192.339
2015-05-23,Utilização de Caixa Eletrônico;,Normal,,956.961
2015-05-24,Utilização de Caixa Eletrônico;,Normal,,499.130
2015-05-25,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,5.050.396
2015-05-26,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.210.245
2015-05-27,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.109.067
2015-05-28,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,4.084.401
2015-05-29,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch;,Alto Risco,,4.677.236
2015-05-30,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Normal,,1.068.680
2015-05-31,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Normal,,559.850
2015-06-01,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Alto Risco,,5.779.492
2015-06-02,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,4.901.571
2015-06-03,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.990.008
2015-06-04,Congelamento do ambiente; Feriado; Corpus Christi; Aumento de transações CDO e ATM; ,Feriado,,887.810
2015-06-05,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,1,5.400.742
2015-06-06,Utilização de Caixa Eletrônico;,Normal,,1.167.529
2015-06-07,Utilização de Caixa Eletrônico;,Normal,,615.710
2015-06-08,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,6.463.878
2015-06-09,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Arrecadação de Convênios;,Normal,,5.176.643
2015-06-10,Arrecadação de Convênios; Arrecadação de GPS; ,Normal,,5.588.680
2015-06-11,Dia Produção Sisbr;,Normal,,4.719.667
2015-06-12,,Normal,,4.451.319
2015-06-13,Utilização de Caixa Eletrônico ,Normal,,1.040.410
2015-06-14,Utilização de Caixa Eletrônico ,Normal,,547.630
2015-06-15,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001;,Alto Risco,,5.658.081
2015-06-16,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001;,Normal,,4.560.092
2015-06-17,,Normal,,4.360.403
2015-06-18,Dia Produção Sisbr;,Normal,,4.095.289
2015-06-19,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; ,Atenção,,4.739.880
2015-06-20,Utilização de Caixa Eletrônico;,Normal,,1.058.659
2015-06-21,Utilização de Caixa Eletrônico;,Normal,,521.745
2015-06-22,Movimento Segunda-Feira; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,5.720.165
